video_name,video_id,neutral_percent,happy_percent,sad_percent,angry_percent
AirPods 4 vs AirPods 4 Noise Cancellation,_ybbXIksjUk,0.76,0.12,0,0.12
AMD’s New Processor is NOT What You Think | Lenovo Yoga Pro 7,FLrbO71yQUA,0.32,0,0,0.68
Apple iPhone 16 Pro Max In-Depth Camera Review (Shot in South Korea),TJqTr8_w588,0.64,0.32,0.04,0
Apple Watch Series 10 + NEW Ultra Review,1OHZTFseggA,0.24,0.64,0,0.12
Apple Watch Series 10 Quick Review DON'T BUY... YET!,8AuAv0eQlBI,0.16,0.72,0,0.12
AUDIO ENGINEER Compares the ONEPLUS BUDS PRO 3 vs. Buds Pro 2,awY7eX8rguw,0.24,0.52,0.04,0.2
AUDIO ENGINEER REACTS Apple AirPods 4 and Apple iPhone 16 Pro Max Sound Tests,ciR9HfGTlf0,0.68,0.32,0,0
AUDIO ENGINEER Reviews the APPLE AIRPODS 4,CwaZ47RUjoU,0.32,0.2,0.04,0.44
AUDIO ENGINEER Reviews the Nothing Ear (Open) Headphones,ThmKbekcisg,0.56,0.04,0,0.4
"Finally, an OLED TV with THIS!! | Samsung S95D TV",e_utOqzf5j0,0,0,0,1
Galaxy Z FLIP 6 Review | More Than Just CUTE Now,ulXeKHtePDI,0.32,0.64,0,0.04
Google Pixel 9 Pro Fold Is So Good! But…,nK9zxuXa3OA,0.72,0.28,0,0
HP EliteBook 840 G11 16” BIG AND POWERFUL!,pk9RKCRdWyc,0.16,0.24,0,0.6
I tested every Celebrity Tech product!,4RcThoRG46c,0.4,0.6,0,0
I tested the Craziest Xiaomi Gadgets!,neIYdLysqlk,0.12,0.88,0,0
Infinix HOT 50 Pro+ Review THE SLIMMEST GAMING PHONE?!,H17T4dH7-W0,0.04,0.72,0,0.24
iPad Mini 7 Review A MONTH LATER!,CHv-oKQcjF8,0,0.8,0,0.2
iPhone 16 Pro MAX Durability Test - Apple tried hard this year...,qYztDs8vPBg,1,0,0,0
iPhone 16 PRO MAX Review With Apple Intelligence | Finally Great?,ZoTCq6zunl0,0.16,0.12,0,0.72
iPhone 16 Pro Max vs Samsung S24 Ultra Camera Battle!,vSIbvJB4WdI,0.84,0.04,0,0.12
iPhone 16_16 Pro Review_ Times Have Changed!,MRtg6A1f2Ko,0.76,0.2,0,0.04
iPhone 16_16 Pro Unboxing_ End of an Era!,h3BKjZMGoIw,0.8,0.12,0,0.08
Like a Gaming Phone but HUGE,PCEmUPqSK4k,0.64,0.32,0.04,0
M4 Mac Mini Review - Apple NAILED It.,qExcc92zHfo,0.12,0.44,0,0.44
M4 MacBook Pro Review - Things to Know,b4x8boB2KdI,0.2,0.2,0,0.6
MIND BLOWING MacBook Pro M4 Speed Test Results! - Massive Upgrades!,4wHkhxit_sU,0.6,0.2,0,0.2
My iPhone 16 _ Pro _ Max _Review_,tYJWcs-qnAc,0.12,0.68,0,0.2
NEW iPhone 16 Durability Test! - They hid all the good stuff...,FZzZatxb9KQ,0.96,0.04,0,0
"Powerful BuzzTV Powerstation 6 - Android TV, RK3588, 8GB + 128GB - Any Good?",2VK_awDJ_ss,0.76,0.08,0,0.16
Powerful GEEKOM GT13 Pro Mini Gaming PC Review - CORE i9 (13900H) - Any Good?,w9EbwjnpKaA,0.64,0.04,0,0.32
SAMSUNG vs APPLE | Everything* Compared,CUOzCh_Pcrg,0.24,0.24,0,0.52
Tecno SPARK 30 Review The GOOD and the BAD!,9a42bdlFRxM,0.04,0.52,0,0.44
Testing the NEW Google TV Streamer 4K - Worth the Money?,yro-CI984mE,0.64,0.04,0,0.32
The First Snapdragon ELITE Smartphone...,hPf2qu5U6F8,0.56,0.4,0,0.04
The Gaming Pad from 2030 just arrived today...,IFthVfjoVOc,1,0,0,0
The M4 Mac Mini is Incredible!,z19HM7ANZlo,0.68,0.08,0,0.24
The Scratchable Truth about BLACK TITANIUM Apple Watch Ultra 2,VS66VOUmoKQ,1,0,0,0
"The Tiny Apple ""Phone""",1rJa-0YOkwk,0.2,0.44,0,0.36
The Tri Folding Phone Durability Test! - someone has to try...,PIun_aBsRMA,1,0,0,0
The Tri Folding Phone Impressions!,Yv_S7KrOlfk,0.92,0.08,0,0
The TRIPLE FOLDING phone has a Problem.,YX8ks42Azn8,0.72,0.12,0.04,0.12
Unboxing The 8K Action Camera,QptbdEci-m8,0.96,0,0,0.04
Unboxing The Vivo V40 Pro,G7o7Qz08RrI,0.76,0.08,0,0.16
Xiaomi Redmi Watch 5 Lite vs Active Which ONE Should You Buy?,iXa5Bk0pu0w,0.08,0.2,0.04,0.68
iPhone 16 / 16 Pro Unboxing - Testing every new feature!,cRPBp2tRxFY,0.8,0.08,0,0.12